ax,ay,az,gx,gy,gz,id
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0.957129,-0.214157,10.1324,-30.6361,-3.86644,-0.281527,3
0.914058,0.527617,10.2508,-57.6297,-6.73643,-1.25277,3
0.900897,0.407976,9.97328,-198.224,-21.9701,-1.82152,3
0.99661,-0.522831,9.70289,-241.519,-26.9926,-0.710275,3
1.16052,-1.94417,9.32482,-274.953,-31.4551,0.190972,3
1.2335,-3.4648,9.09751,-287.133,-34.1851,1.80097,3
1.30887,-4.46979,9.18126,-285.199,-35.8126,3.20096,3
1.27896,-5.04885,9.15852,-275.627,-36.5913,4.17221,3
1.31725,-6.04785,8.87856,-253.498,-35.7601,5.41471,3
1.334,-6.68674,8.50887,-222.646,-33.7476,6.33345,3
1.36391,-7.00738,8.19781,-187.234,-30.8076,6.3597,3
1.3986,-7.22393,7.81137,-149.469,-27.2551,5.76471,3
1.65822,-7.94895,6.8315,-23.1461,-10.2627,2.63222,3
1.64865,-8.54835,6.50608,26.4488,-1.62645,2.11597,3
1.71924,-8.88095,6.31585,80.6548,4.69979,2.67597,3
1.68933,-7.96331,6.4343,126.137,8.37477,2.92971,3
1.65942,-7.67617,6.48215,171.2,13.3798,3.24471,3
1.63789,-7.2,6.67238,215.789,19.7147,4.74096,3
1.55174,-6.20099,6.79442,253.686,26.0585,5.24846,3
1.53141,-5.08474,7.04446,279.253,31.011,5.44096,3
1.55773,-4.18385,7.50508,285.203,35.6309,5.23971,3
1.51824,-3.19561,8.24805,285.203,39.0609,4.74096,3
1.34237,0.118445,10.3537,243.789,35.9459,0.374722,3
1.17009,1.09113,10.7952,192.97,30.7835,-1.53277,3
